itemType,id,sku,name,description,url,imageUrl,price,listPrice,currency,availability,category,gender,rating,reviewsCount,fabric,badges,colors,sizes
"Product","prod_drop_1","prod_drop_1","Women's NavyBlue Denim Mini Skirt","Step out in effortless style with this NavyBlue Denim Mini Skirt. Tailored from premium stretch denim with a flattering A-line silhouette, high-rise waist, and chic raw hem detail.","https://show-offf-demo.vercel.app/product.html?id=prod_drop_1","https://showoffff.in/cdn/shop/files/LT-SKT-1003_NavyBlue_1.jpg?v=1785827063&width=1080","999","2499","INR","in_stock","Skirts","Women","4.9","128","100% Cotton Stretch Denim","","#1B2E4B|#253C61|#0F1A2C","28|30|32|34"
"Product","prod_drop_2","prod_drop_2","Women's White Layered Ruffle Off-Shoulder Dress","Float through your day in this romantic layered ruffle dress. Features a delicate off-shoulder neckline and breathable airy chiffon fabric.","https://show-offf-demo.vercel.app/product.html?id=prod_drop_2","https://showoffff.in/cdn/shop/files/CHN-5692_White_1_6aa32719-f331-4f70-9f0b-e04aee2b4d0a.jpg?v=1778331500&width=1080","999","2499","INR","in_stock","Dresses","Women","4.8","84","Georgette with Soft Crepe Lining","","#FFFFFF|#F5EFEB|#E8DED1","XS|S|M|L"
"Product","prod_drop_3","prod_drop_3","Women's Beige Classic Trench Button-Down Utility Dress","Chic and utilitarian. This beige belted button-down dress blends casual elegance with a waist-cinching silhouette.","https://show-offf-demo.vercel.app/product.html?id=prod_drop_3","https://showoffff.in/cdn/shop/files/CHN-8119_Beige_1_ca4f4bc1-85ad-4d89-a086-904a29f16b42.jpg?v=1778329586&width=1080","999","2499","INR","in_stock","Dresses","Women","4.9","95","Premium Cotton Twill","","#D4BA9F|#C4A687|#8D6E4E","XS|S|M|L"
"Product","prod_drop_4","prod_drop_4","Men's Olive Green Lightweight Casual Bomber Jacket","The essential layer for all seasons. Designed with a sleek ribbed collar, smooth metallic zip closure, and comfortable regular fit.","https://show-offf-demo.vercel.app/product.html?id=prod_drop_4","https://images.unsplash.com/photo-1544441893-675973e31985?auto=format&fit=crop&w=1080&q=80","1299","3499","INR","in_stock","Jackets","Men","4.8","67","Water-resistant Poly-Cotton Blend","","#3D4A3E|#2B332C|#1E241F","S|M|L|XL"
"Product","prod_drop_5","prod_drop_5","Women's Ribbed Chocolate Brown Open Front Longline Shrug","Elevate your layered outfits with this cozy chocolate brown longline shrug. Super soft ribbed knit with side slits.","https://show-offf-demo.vercel.app/product.html?id=prod_drop_5","https://showoffff.in/cdn/shop/files/CHN-1992_ChocolateBrown_1.jpg?v=1784635000&width=1080","999","2499","INR","in_stock","Shrugs","Women","4.8","110","Ribbed Acrylic Knit","","#4A2E18|#331E0F|#6B4426","XS|S|M|L"
"Product","prod_w_1","prod_w_1","Women's NavyBlue Denim Mini Skirt","Elevate your fashion statement with SHOWOFFFF's Women's NavyBlue Denim Mini Skirt. Designed with premium fabric, tailored fit, and breathable touch.","https://show-offf-demo.vercel.app/product.html?id=prod_w_1","https://showoffff.in/cdn/shop/files/LT-SKT-1003_NavyBlue_1.jpg?v=1785827063&width=1080","999","2499","INR","in_stock","Skirts","Women","4.8","99","100% Stretch Denim","New|Website Xclusive","#1B2E4B|#253C61","28|30|32|34"
"Product","prod_w_2","prod_w_2","Women's Brown Ruched Top with Tie-Up Sleeve & Floral Brooch Detail","Chic brown ruched top featuring playful tie-up sleeves and an exquisite floral brooch detail.","https://show-offf-demo.vercel.app/product.html?id=prod_w_2","https://showoffff.in/cdn/shop/files/CHN-29911_Brown_1.jpg?v=1785827011&width=1080","999","2499","INR","in_stock","Tops","Women","4.8","69","Soft Poly Crepe","New|Website Xclusive","#5C3826|#3A2114","XS|S|M"
"Product","prod_w_3","prod_w_3","Women's Yellow Halter Neck Ruffle A-Line Maxi Dress","Radiate sunshine vibes in this yellow halter neck maxi dress with cascading ruffles.","https://show-offf-demo.vercel.app/product.html?id=prod_w_3","https://showoffff.in/cdn/shop/files/CHN-5913_Yellow_1.jpg?v=1784635039&width=1080","999","2499","INR","in_stock","Dresses","Women","4.8","49","Flowy Georgette","New|Website Xclusive","#EAB308|#FDE047","XS|S|M|L"
"Product","prod_w_4","prod_w_4","Women's Blue Denim Mini Skirt","Classic light wash denim skirt with front button accents and back patch pockets.","https://show-offf-demo.vercel.app/product.html?id=prod_w_4","https://showoffff.in/cdn/shop/files/LT-SKT-1003_Blue_1.jpg?v=1784635152&width=1080","999","2499","INR","in_stock","Skirts","Women","4.8","34","Pure Denim","New|Website Xclusive","#2563EB|#1D4ED8","28|30|32|34"
"Product","prod_w_5","prod_w_5","Women's Ribbed Chocolate Brown Open Front Longline Shrug","Cozy chocolate brown shrug for effortless layering on any top or dress.","https://show-offf-demo.vercel.app/product.html?id=prod_w_5","https://showoffff.in/cdn/shop/files/CHN-1992_ChocolateBrown_1.jpg?v=1784635000&width=1080","999","2499","INR","in_stock","Shrugs","Women","4.8","86","Ribbed Acrylic Knit","Bestseller|New","#4A2E18|#6B4426","XS|S|M|L"
